Date,Open,High,Low,Close
09/20/96 00:00:00,1.2927,1.2937,1.2877,1.2907
09/23/96 00:00:00,1.2904,1.294,1.2888,1.2935
09/24/96 00:00:00,1.2935,1.3028,1.2902,1.3017
09/25/96 00:00:00,1.3021,1.3028,1.289,1.2903
09/26/96 00:00:00,1.2904,1.2913,1.2823,1.2839
09/27/96 00:00:00,1.2842,1.2856,1.2815,1.283
09/30/96 00:00:00,1.2838,1.2842,1.2792,1.2827
10/01/96 00:00:00,1.2822,1.2857,1.2809,1.2818
10/02/96 00:00:00,1.2816,1.2833,1.2756,1.2762
10/03/96 00:00:00,1.2763,1.2797,1.2744,1.2776
10/04/96 00:00:00,1.2778,1.2805,1.2757,1.2771
10/07/96 00:00:00,1.2764,1.2791,1.2762,1.2776
10/08/96 00:00:00,1.2776,1.2829,1.2769,1.279
10/09/96 00:00:00,1.2787,1.2812,1.2771,1.2806
10/10/96 00:00:00,1.2804,1.2817,1.2765,1.2797
10/11/96 00:00:00,1.28,1.2807,1.2759,1.2774
10/14/96 00:00:00,1.2776,1.2797,1.2771,1.2789
10/15/96 00:00:00,1.2792,1.28,1.2688,1.2696
10/16/96 00:00:00,1.2699,1.2731,1.2671,1.2708
10/17/96 00:00:00,1.2707,1.2731,1.2658,1.2677
10/18/96 00:00:00,1.2679,1.2704,1.2662,1.2683
10/21/96 00:00:00,1.2685,1.2744,1.2671,1.2744
10/22/96 00:00:00,1.2743,1.2848,1.2728,1.283
10/23/96 00:00:00,1.2829,1.2876,1.2797,1.2859
10/24/96 00:00:00,1.2852,1.29,1.2804,1.2889
10/25/96 00:00:00,1.2886,1.2897,1.2814,1.2863
10/28/96 00:00:00,1.2877,1.2893,1.2825,1.2873
10/29/96 00:00:00,1.2875,1.298,1.286,1.2952
10/30/96 00:00:00,1.2953,1.2991,1.2929,1.2944
10/31/96 00:00:00,1.2944,1.2961,1.2873,1.2888
11/01/96 00:00:00,1.2885,1.2946,1.2841,1.2906
11/04/96 00:00:00,1.2935,1.2959,1.289,1.295
11/05/96 00:00:00,1.295,1.2965,1.2852,1.2871
11/06/96 00:00:00,1.2865,1.2917,1.2812,1.2885
11/07/96 00:00:00,1.2888,1.3026,1.2884,1.2935
11/08/96 00:00:00,1.294,1.3012,1.2916,1.2996
11/11/96 00:00:00,1.3002,1.3104,1.2993,1.3103
11/12/96 00:00:00,1.31,1.3135,1.2956,1.297
11/13/96 00:00:00,1.2971,1.301,1.296,1.297
11/14/96 00:00:00,1.2975,1.3004,1.2937,1.297
11/15/96 00:00:00,1.2967,1.2996,1.2945,1.2952
11/18/96 00:00:00,1.2964,1.3048,1.2956,1.3026
11/19/96 00:00:00,1.3026,1.3037,1.2977,1.2986
11/20/96 00:00:00,1.299,1.309,1.2984,1.3071
11/21/96 00:00:00,1.307,1.3088,1.3012,1.3062
11/22/96 00:00:00,1.3056,1.3068,1.2958,1.2977
11/25/96 00:00:00,1.2976,1.2976,1.2835,1.2839
11/26/96 00:00:00,1.2839,1.2868,1.2781,1.2833
11/27/96 00:00:00,1.2828,1.2852,1.2786,1.2814
11/28/96 00:00:00,1.2812,1.2818,1.2747,1.2767
11/29/96 00:00:00,1.2767,1.277,1.2704,1.2711
12/02/96 00:00:00,1.2714,1.2718,1.2547,1.2587
12/03/96 00:00:00,1.2584,1.2601,1.2431,1.2566
12/04/96 00:00:00,1.2567,1.2575,1.2477,1.2538
12/05/96 00:00:00,1.2534,1.2649,1.2509,1.2612
12/06/96 00:00:00,1.2612,1.2787,1.2575,1.2639
12/09/96 00:00:00,1.2654,1.2661,1.2551,1.2553
12/10/96 00:00:00,1.2553,1.2614,1.255,1.2596
12/11/96 00:00:00,1.2592,1.2743,1.2587,1.2718
12/12/96 00:00:00,1.272,1.2742,1.2639,1.2694
12/13/96 00:00:00,1.2696,1.2718,1.2571,1.2587
12/16/96 00:00:00,1.2574,1.2663,1.2553,1.2651
12/17/96 00:00:00,1.2653,1.2684,1.2612,1.2624
12/18/96 00:00:00,1.262,1.2643,1.2576,1.2605
12/19/96 00:00:00,1.2607,1.263,1.2516,1.2559
12/20/96 00:00:00,1.2553,1.262,1.2545,1.26
12/23/96 00:00:00,1.2596,1.2616,1.2565,1.2584
12/24/96 00:00:00,1.2584,1.2594,1.2559,1.2572
12/25/96 00:00:00,1.2572,1.2579,1.2553,1.2571
12/26/96 00:00:00,1.2571,1.2594,1.2549,1.2587
12/27/96 00:00:00,1.2587,1.2592,1.2541,1.2587
12/30/96 00:00:00,1.2579,1.26,1.2549,1.2575
12/31/96 00:00:00,1.2571,1.273,1.257,1.2689
01/02/97 00:00:00,1.269,1.2712,1.2628,1.268
01/03/97 00:00:00,1.2673,1.2686,1.2471,1.2505
01/06/97 00:00:00,1.2483,1.2521,1.2444,1.2501
01/07/97 00:00:00,1.2509,1.2577,1.2496,1.2508
01/08/97 00:00:00,1.251,1.2513,1.2387,1.2431
01/09/97 00:00:00,1.2419,1.2438,1.2372,1.2396
